"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
413;"/wl_dac_config_7";2;1;52.25 mils;3832.69 mils;0.00 mils;3884.94 mils;
414;"/sa_do_5";2;1;9.12 mils;3928.63 mils;0.00 mils;3937.75 mils;
415;"/sa_do_14";2;1;9.12 mils;3918.85 mils;0.00 mils;3927.97 mils;
416;"/sa_do_25";2;1;52.25 mils;3832.91 mils;0.00 mils;3885.15 mils;
417;"/sa_do_34";2;1;9.12 mils;3918.79 mils;0.00 mils;3927.92 mils;
418;"/sa_do_47";2;1;52.25 mils;3832.57 mils;0.00 mils;3884.82 mils;
419;"/sa_do_46";2;1;9.12 mils;3918.78 mils;0.00 mils;3927.90 mils;
420;"/sl_en";2;1;52.25 mils;3834.20 mils;0.00 mils;3886.45 mils;
421;"/di_41";2;1;52.25 mils;3832.56 mils;0.00 mils;3884.81 mils;
422;"/rram_addr_14";2;1;52.25 mils;3861.77 mils;0.00 mils;3914.02 mils;
423;"/di_31";2;2;61.37 mils;3813.94 mils;0.00 mils;3875.31 mils;
424;"/wl_dac_config_4";2;1;9.12 mils;3919.58 mils;0.00 mils;3928.70 mils;
425;"/mclk_pause";2;1;52.25 mils;3884.76 mils;0.00 mils;3937.00 mils;
426;"/sa_do_33";2;1;9.12 mils;3918.74 mils;0.00 mils;3927.86 mils;
427;"/clamp_ref_0";2;1;52.25 mils;3832.57 mils;0.00 mils;3884.82 mils;
428;"/sa_do_35";2;1;52.25 mils;3832.54 mils;0.00 mils;3884.79 mils;
430;"/heartbeat";2;1;61.37 mils;1811.49 mils;0.00 mils;1872.86 mils;
455;"/sa_clk";2;1;52.25 mils;3832.51 mils;0.00 mils;3884.76 mils;
460;"/vadj";9;6;368.22 mils;5972.28 mils;0.00 mils;6340.50 mils;
